Vowel,Phrase,Time (s),F1 (Hz),F2 (Hz),F3 (Hz),Filename
æ,a map,1.96,923,1312,1911,1. TextGrid annotations
æ,a bap,7.258,932,1435,2006,1. TextGrid annotations
æ,a map,12.859,952,1372,1887,1. TextGrid annotations
æ,a bap,17.632,821,1540,1871,1. TextGrid annotations
ɑ,a mop,0.886,493,1039,2322,1. TextGrid annotations
ɑ,a bop,6.099,524,1086,2132,1. TextGrid annotations
ɑ,a mop,11.82,867,1137,2963,1. TextGrid annotations
ɑ,a bop,16.66,780,1082,2370,1. TextGrid annotations
ə_æ,a map,1.723,397,1255,2426,1. TextGrid annotations
ə_æ,a bap,6.975,459,1226,1722,1. TextGrid annotations
ə_æ,a map,12.54,478,1229,1827,1. TextGrid annotations
ə_æ,a bap,17.385,537,1134,3365,1. TextGrid annotations
ə_ɑ,a mop,0.701,545,1194,2712,1. TextGrid annotations
ə_ɑ,a bop,5.879,447,1167,1541,1. TextGrid annotations
ə_ɑ,a mop,11.572,459,1140,2350,1. TextGrid annotations
ə_ɑ,a bop,16.446,529,1179,2591,1. TextGrid annotations
ə_i,a meep,2.726,374,1255,3249,1. TextGrid annotations
ə_i,a beep,8.138,411,1219,1819,1. TextGrid annotations
ə_i,a meep,13.585,365,1192,1951,1. TextGrid annotations
ə_i,a beep,18.359,430,1149,2805,1. TextGrid annotations
ə_u,a moop,3.78,380,1169,2283,1. TextGrid annotations
ə_u,a boop,9.237,399,1131,2574,1. TextGrid annotations
ə_u,a moop,14.527,383,1167,1975,1. TextGrid annotations
ə_u,a boop,19.273,440,1238,3179,1. TextGrid annotations
ə_ʌ,a mup,4.753,379,1206,1775,1. TextGrid annotations
ə_ʌ,a bup,10.219,435,1171,3290,1. TextGrid annotations
ə_ʌ,a mup,15.442,357,1169,2509,1. TextGrid annotations
ə_ʌ,a bup,20.129,457,1215,3512,1. TextGrid annotations
i,a meep,2.97,367,3169,f3:0',1. TextGrid annotations
i,a beep,8.375,416,3047,f3:0',1. TextGrid annotations
i,a meep,13.814,362,3089,f3:0',1. TextGrid annotations
i,a beep,18.565,370,2920,f3:0',1. TextGrid annotations
u,a moop,4.019,383,1067,2735,1. TextGrid annotations
u,a boop,9.453,387,555,3226,1. TextGrid annotations
u,a moop,14.761,386,811,2522,1. TextGrid annotations
u,a boop,19.483,364,620,2965,1. TextGrid annotations
ʌ,a mup,4.999,617,1204,3315,1. TextGrid annotations
ʌ,a bup,10.461,407,1150,2101,1. TextGrid annotations
ʌ,a mup,15.655,532,1096,2181,1. TextGrid annotations
ʌ,a bup,20.317,455,1170,3353,1. TextGrid annotations
